"","year","ID","Country.Name","region","E.Government.Rank","E.Government.Index","E.Participation.Index","Online.Service.Index","Human.Capital.Index","ps_2020","Country Name","electicity","FDI","mobile","urban","GDP_per","corruption","rule_of_law","pol_stab","accountability","effectiveness","reg_qual"
"1",2020,"AFG","Afghanistan","Asia",169,0.3203,0.4643,0.4118,0.3728,-1.63523588005741,"Afghanistan",NA,-1.475405,NA,-1.523115,58.25581184,-2.729808,-1.378587,-1.807697,26.026,-1.083459,508.808409485223
"2",2020,"AGO","Angola ","Africa",159,0.3847,0.4524,0.4882,0.5295,0.0256048331920466,"Angola",NA,-0.9270931,NA,-1.181797,44.55951073,-0.520679,-0.9085017,-0.9631715,66.825,-0.8106282,1895.77086891313
"3",2020,"ALB","Albania ","Europe",59,0.7399,0.8452,0.8412,0.8001,-0.1705841,"Albania",NA,-0.5401961,NA,-0.1357432,91.00294427,0.0839363,0.2371311,-0.3582943,62.112,0.0873399,5215.27675237003
"4",2020,"AND","Andorra ","Europe",80,0.6881,0.5119,0.4824,0.7448,NA,"Andorra",NA,1.314374,NA,1.825594,NA,1.618512,1.339709,1.698638,87.916,1.089068,NA
"5",2020,"ARE","United Arab Emirates ","Asia",21,0.8555,0.9405,0.9,0.732,-1.90612280345016,"United Arab Emirates",NA,1.114396,NA,1.325503,185.7794253,0.6264683,1.083404,0.9169419,87.048,-1.184305,NA
"6",2020,"ARG","Argentina ","Americas",32,0.8279,0.8571,0.8471,0.91,-0.0810866609460862,"Argentina",NA,-0.1163816,NA,-0.2169417,121.1703997,0.0364368,-0.5673085,-0.4693715,92.111,0.5941538,8441.9194391094
"7",2020,"ARM","Armenia ","Asia",68,0.7136,0.75,0.7,0.7872,0.0353414877660415,"Armenia",NA,0.031597,NA,-0.1242361,117.7357712,-0.5712944,0.2500479,-0.0832231,63.313,0.0446616,4267.45211938157
"8",2020,"ATG","Antigua and Barbuda ","Americas",98,0.6055,0.4881,0.4471,0.7518,NA,"Antigua and Barbuda",NA,0.2752807,NA,-0.149707,NA,0.9338933,0.5125659,0.4520202,24.433,0.7448558,14449.9965204973
"9",2020,"AUS","Australia ","Oceania",5,0.9432,0.9643,0.9471,1,0.446428045067137,"Australia",NA,1.665165,NA,1.619163,107.6632349,0.8487522,1.816904,1.651188,86.241,1.304121,51812.1540373988
"10",2020,"AUT","Austria","Europe",15,0.8914,0.9762,0.9471,0.9032,0.700238513813417,"Austria",NA,1.509674,NA,1.655057,118.6078386,0.851911,1.401355,1.810441,58.748,1.398979,48105.3646248411
"11",2020,"AZE","Azerbaijan ","Asia",70,0.71,0.6905,0.7059,0.7713,-0.1057167,"Azerbaijan",NA,-1.048197,NA,-0.1702325,102.0230735,-0.7252154,-0.3147717,-0.6910434,56.397,-1.545741,4214.3113363475
"12",2020,"BDI","Burundi ","Africa",168,0.3227,0.3333,0.3529,0.4891,-0.5973857,"Burundi",NA,-1.52695,NA,-1.259296,55.76717229,-1.411315,-1.01885,-1.316482,13.708,-1.53803,274.009523229095
"13",2020,"BEL","Belgium ","Europe",41,0.8047,0.6548,0.6588,0.9521,1.14953769639309,"Belgium",NA,1.478052,NA,1.124299,99.48320148,0.5905626,1.350718,1.36892,98.079,1.283182,44594.3781075628
"14",2020,"BEN","Benin ","Africa",157,0.4039,0.5476,0.5118,0.4404,0.3722177,"Benin",NA,-0.0392984,NA,-0.2638812,91.8972796,-0.4397532,-0.3722045,-0.7278787,48.415,-0.0771749,1291.04096203645
"15",2020,"BFA","Burkina Faso ","Africa",164,0.3558,0.5119,0.4647,0.2911,-0.521379319957678,"Burkina Faso",NA,-0.1011696,NA,-0.6695253,105.8074398,-1.551598,-0.4172661,-0.4181253,30.607,-0.1711518,830.925144621939
"16",2020,"BGD","Bangladesh ","Asia",119,0.5189,0.5714,0.6118,0.5731,0.438944372297826,"Bangladesh",NA,-0.9782742,NA,-0.7878783,103.3076686,-0.9173985,-0.9019138,-0.5731802,38.177,-0.7691441,1968.79222484581
"17",2020,"BGR","Bulgaria ","Europe",44,0.798,0.8929,0.7706,0.8408,0.1379959,"Bulgaria",NA,-0.2723222,NA,-0.0722199,114.3527653,0.472481,0.5189232,-0.0870779,75.686,0.2600734,9975.78000070924
"18",2020,"BHR","Bahrain ","Asia",38,0.8213,0.7738,0.7882,0.8439,-0.437411852859184,"Bahrain",NA,-0.0655486,NA,0.4287471,102.7678474,-0.5911913,0.6258294,0.491358,89.506,-1.457495,NA
"19",2020,"BHS","Bahamas ","Americas",73,0.7017,0.619,0.6765,0.7546,NA,"Bahamas, The",NA,1.137461,NA,0.4521627,NA,0.849964,0.0138412,0.0620066,83.245,0.9186843,28607.9013752136
"20",2020,"BIH","Bosnia and Herzegovina ","Europe",94,0.6372,0.6071,0.5353,0.7468,0.1783049,"Bosnia and Herzegovina",NA,-0.6038762,NA,-0.9751914,106.9755448,-0.5145728,-0.2324903,-0.3060572,49.02,-0.323984,6031.55686867658
"21",2020,"BLR","Belarus ","Europe",40,0.8084,0.75,0.7059,0.8912,0.1350572,"Belarus",NA,-0.1682376,NA,-0.7293182,123.8616142,-0.7303549,-0.649549,-0.9959167,79.483,-1.458824,6411.2278131981
"22",2020,"BLZ","Belize ","Americas",136,0.4548,0.2976,0.2647,0.6919,NA,"Belize",NA,-0.1919857,NA,-0.6464335,NA,0.5117432,-0.5378277,-0.7596992,46.025,0.5281408,4435.62115419432
"23",2020,"BOL","Bolivia ","Americas",97,0.6129,0.5952,0.5824,0.7379,-0.0376506119318951,"Bolivia",NA,-0.7563663,NA,-0.5620455,101.1250044,-0.4676746,-1.023997,-1.151606,70.123,-0.0706577,3143.04549424189
"24",2020,"BRA","Brazil ","Americas",54,0.7677,0.9048,0.8706,0.7803,0.165268554572574,"Brazil",NA,-0.3424238,NA,-0.4470313,96.83635,-0.4216979,-0.1616535,-0.1758137,87.073,0.2610505,6796.84454227877
"25",2020,"BRB","Barbados ","Americas",62,0.7279,0.5952,0.5765,0.8549,0.5793805,"Barbados",NA,1.22592,NA,0.4893115,NA,1.129196,0.4801968,0.3377488,31.191,1.131755,15191.1640353411
"26",2020,"BRN","Brunei Darussalam ","Asia",60,0.7389,0.5476,0.6353,0.7605,NA,"Brunei Darussalam",NA,1.28122,NA,1.438427,120.401665,1.123706,0.9141998,0.9311345,78.25,-0.9322214,27466.3396414199
"27",2020,"BTN","Bhutan ","Asia",103,0.5777,0.631,0.6824,0.5139,0.175138576570129,"Bhutan",NA,1.648439,NA,0.3731863,96.56937201,1.021578,-0.3105174,0.5941438,42.316,0.1519855,3122.37606234724
"28",2020,"BWA","Botswana ","Africa",115,0.5383,0.369,0.3647,0.6911,-0.1880093,"Botswana",NA,0.6290125,NA,0.2567992,162.3990114,1.088047,0.4159909,0.4405316,70.877,0.4944413,6710.990411266
"29",2020,"CAF","Central African Republic ","Africa",190,0.1404,0.1429,0.1294,0.2539,-0.430781898785181,"Central African Republic",NA,-1.28198,NA,-1.689749,NA,-2.178489,-1.537033,-1.711812,42.198,-1.273128,476.851112719857
"30",2020,"CAN","Canada ","Americas",28,0.842,0.9405,0.8412,0.9029,0.0265751910593278,"Canada",NA,1.597707,NA,1.644323,95.63052761,1.109246,1.595805,1.655119,81.562,1.476175,43241.6178282827
"31",2020,"CHE","Switzerland ","Europe",16,0.8907,0.9048,0.8294,0.8946,0.338790273628461,"Switzerland",NA,2.078857,NA,2.020098,125.9442642,1.191969,1.590316,1.828168,73.915,1.541333,86601.5564126289
"32",2020,"CHL","Chile ","Americas",34,0.8259,0.8571,0.8529,0.8643,0.747509,"Chile",NA,1.146561,NA,0.9887357,131.1361447,0.0706187,1.052093,1.067767,87.727,1.016067,13231.7042069383
"33",2020,"CHN","China ","Asia",45,0.7948,0.9643,0.9059,0.7396,0.616983602764168,"China",NA,-0.0658865,NA,0.6479592,117.857846,-0.291068,-0.0808021,-0.0595887,61.428,-1.648466,10500.3956159637
"34",2020,"CIV","Côte d'Ivoire ","Africa",139,0.4457,0.4048,0.4529,0.3808,-0.3273421,"Cote d'Ivoire",NA,-0.5265628,NA,-0.4806498,152.0010217,-0.9764128,-0.2758446,-0.5994768,51.706,-0.4831634,2325.72370502247
"35",2020,"CMR","Cameroon ","Africa",144,0.4325,0.4167,0.4706,0.5971,-0.2952833,"Cameroon",NA,-1.131269,NA,-0.8831259,95.10006889,-1.527164,-0.8171073,-1.146446,57.56,-1.214586,1499.37284272297
"36",2020,"COD","Democratic Republic of the Congo ","Africa",184,0.258,0.2024,0.1294,0.5303,-0.1035511,"Congo, Dem. Rep.",NA,-1.572393,NA,-1.692743,45.55354721,-1.708182,-1.540846,-1.79057,45.638,-1.281867,556.813185299175
"37",2020,"COG","Congo ","Africa",160,0.3786,0.2738,0.3176,0.5822,-0.2427292,"Congo, Rep.",NA,-1.403427,NA,-1.434841,NA,-0.8958732,-1.431044,-1.160379,67.829,-1.290345,1972.54524619093
"38",2020,"COL","Colombia ","Americas",67,0.7164,0.869,0.7647,0.7723,-0.344386,"Colombia",NA,-0.181955,NA,0.0402886,132.9967081,-0.6735995,0.3171094,-0.4912356,81.425,0.1492503,5332.77352412685
"39",2020,"COM","Comoros ","Africa",177,0.2799,0.119,0.1235,0.4652,-0.165593582298549,"Comoros",NA,-1.19349,NA,-1.593477,54.37148761,-0.2917943,-1.178481,-1.199232,29.38,-0.7638819,1402.59548928279
"40",2020,"CPV","Cabo Verde ","Africa",110,0.5604,0.4167,0.5,0.6337,-0.154503839887493,"Cabo Verde",NA,0.8279572,NA,0.2471965,97.97513251,0.8807942,-0.0660532,0.4879067,66.652,0.917582,3064.27238842819
